px,py
5985.02,1463.57
5984.65,1453.11
5984.77,1443.41
5984.89,1433.75
5985.02,1424.12
5985.14,1414.52
5985.27,1404.97
5985.41,1395.45
5985.55,1385.97
5985.7,1376.53
5985.86,1367.12
5986.03,1357.77
5986.22,1348.45
5986.42,1339.18
5986.64,1329.95
5986.75,1321.11
5986.89,1312.32
5987.05,1303.58
5987.24,1294.88
5987.45,1286.22
5987.69,1277.61
5987.96,1269.05
5988.27,1260.53
5988.6,1252.06
5988.97,1243.63
5989.38,1235.25
5989.83,1226.91
5990.32,1218.63
5990.85,1210.39
5991.43,1202.19
5992.05,1194.04
5992.71,1185.94
5992.81,1178.14
5993.37,1168.58
5993.97,1159.07
5995.01,1150.31
5996.07,1141.6
5997.17,1132.94
5998.31,1124.33
5999.48,1115.78
6000.82,1106.84
6002.2,1097.95
6003.61,1089.11
6005.08,1080.32
6005.71,1070.53
6006.38,1060.79
6007.11,1051.1
6007.88,1041.46
6008.71,1031.87
6009.59,1022.33
6010.52,1012.84
6011.51,1003.4
6012.82,994.622
6014.2,985.899
6015.63,977.23
6017.13,968.616
6018.69,960.056
6020.31,951.551
6021.99,943.099
6023.74,934.7
6025.56,926.354
6027.44,918.061
6029.38,909.82
6031.39,901.631
6033.35,892.648
6035.38,883.72
6037.48,874.848
6039.66,866.03
6041.92,857.267
6044.52,848.668
6047.2,840.121
6049.96,831.628
6052.79,823.186
6055.7,814.797
6058.68,806.46
6061.74,798.174
6064.87,789.939
6068.48,781.057
6071.25,772.128
6074.11,763.254
6077.05,754.435
6080.06,745.67
6083.16,736.959
6086.33,728.302
6089.58,719.699
6092.91,711.149
6096.32,702.653
6099.81,694.209
6103.37,685.818
6107.01,677.479
6110.73,669.192
6114.52,660.958
6119.17,653.8
6123.88,646.687
6128.66,639.619
6133.51,632.332
6138.43,625.092
6143.41,617.896
6148.46,610.746
6153.57,603.641
6158.76,596.58
6164,589.563
6169.31,582.59
6174.69,575.661
6180.12,568.776
6185.62,561.933
6190.42,555.057
6195.28,548.223
6200.21,541.431
6205.2,534.682
6210.25,527.974
6215.37,521.307
6220.55,514.681
6225.79,508.096
6231.09,501.551
6236.44,495.046
6241.61,488.502
6246.84,481.998
6252.93,476.653
6259.08,471.346
6265.28,466.075
6271.41,460.454
6277.6,454.872
6283.85,449.331
6290.15,443.828
6296.6,438.328
6304.29,432.719
6312.02,427.15
6319.77,421.621
6327.87,416.706
6335.99,411.829
6344.14,406.991
6352.32,402.19
6360.52,397.426
6368.75,392.699
6377,388.009
6385.27,383.355
6393.57,378.737
6401.88,374.155
6410.22,369.609
6418.57,365.097
6426.85,360.632
6435.15,356.2
6443.46,351.801
6451.79,347.435
6460.12,343.102
6468.47,338.802
6476.83,334.533
6485.34,330.518
6493.87,326.537
6502.15,322.457
6510.43,318.417
6518.73,314.416
6527.02,310.454
6535.33,306.531
6543.64,302.647
6551.95,298.801
6560.26,294.993
6568.57,291.223
6576.88,287.49
6585.2,283.794
6593.5,280.134
6601.81,276.511
6610.11,272.925
6618.41,269.374
6626.7,265.858
6634.98,262.378
6643.26,258.932
6651.52,255.522
6659.78,252.145
6668.02,248.803
6676.25,245.494
6684.47,242.219
6692.42,239.432
6700.32,236.301
6708.21,233.201
6716.07,230.132
6723.93,227.095
6731.76,224.088
6739.58,221.111
6747.37,218.165
6755.15,215.248
6762.91,212.361
6770.64,209.504
6778.35,206.675
6786.04,203.876
6793.71,201.105
6800.05,198.918
6806.36,196.755
6812.66,194.617
6818.93,192.502
6825.18,190.41
6831.4,188.342
6837.6,186.297
6843.78,184.276
6849.93,182.277
6856.05,180.301
6862.15,178.348
6868.22,176.417
6874.27,174.509
6880.28,172.623
6886.27,170.76
6892.07,169.045
6897.85,167.348
6903.59,165.671
6909.3,164.011
6914.99,162.371
6920.44,160.703
6925.85,159.053
6931.24,157.423
6936.6,155.81
6941.93,154.216
6947.23,152.64
6952.75,151.033
6958.25,149.444
6963.71,147.874
6969.15,146.322
6974.56,144.789
6979.94,143.28
6985.29,141.794
6990.61,140.332
6995.9,138.894
7001.17,137.48
7006.4,136.088
7011.6,134.721
7016.78,133.377
7021.92,132.057
7027.03,130.761
7032.12,129.488
7037.17,128.239
7042.19,127.014
7047.19,125.812
7052.15,124.635
7057.29,123.377
7062.39,122.138
7067.46,120.917
7072.5,119.716
7077.5,118.533
7082.47,117.37
7087.41,116.226
7092.31,115.101
7097.18,113.996
7102.01,112.911
7106.81,111.846
7111.57,110.8
7115.08,109.563
7118.55,108.349
7121.99,107.156
7125.39,105.986
7128.77,104.839
7132.11,103.715
7135.42,102.613
7138.7,101.535
7141.94,100.48
7145.16,99.449
7148.34,98.4415
7151.49,97.4579
7154.62,96.4986
7157.71,95.5636
7160.77,94.6532
7163.8,93.7675
7166.8,92.9069
7169.76,92.0715
7172.7,91.2615
7175.61,90.4772
7178.49,89.7187
7181.34,88.9864
7184.16,88.2803
7187.14,88.2275
7190.09,88.2022
7193.01,88.2044
7195.9,88.2345
7199.3,88.4375
7202.67,88.6645
7206.02,88.9159
7209.33,89.1919
7212.61,89.4928
7215.85,89.8187
7219.07,90.1701
7222.05,91.4873
7225,92.8299
7227.92,94.1982
7230.81,95.5923
7233.67,97.0127
7236.5,98.4594
7239.3,99.9327
7242.07,101.433
7244.82,102.96
7247.53,104.515
7250.21,106.097
7252.86,107.707
7255.49,109.345
7258.08,111.012
7260.65,112.707
7263.19,114.431
7265.7,116.183
7268.18,117.966
7270.63,119.777
7273.05,121.619
7275.45,123.491
7277.82,125.392
7280.16,127.325
7282.37,128.996
7284.56,130.698
7287.24,132.649
7289.89,134.633
7292.51,136.65
7295.11,138.701
7297.69,140.786
7300.24,142.906
7302.77,145.059
7305.27,147.248
7307.75,149.471
7310.21,151.729
7312.64,154.023
7315.05,156.352
7317.44,158.718
7319.8,161.119
7322.14,163.557
7324.46,166.031
7325.95,169.178
7327.49,172.486
7329.01,175.824
7330.52,179.193
7332.01,182.592
7333.48,186.021
7334.94,189.482
7336.38,192.973
7337.86,196.724
7339.3,200.48
7340.73,204.267
7342.14,208.085
7343.53,211.935
7345.3,216.272
7347,220.532
7348.68,224.822
7350.35,229.143
7352,233.494
7352.76,237.817
7353.5,242.171
7354.23,246.557
7354.96,250.975
7355.67,255.425
7356.12,259.976
7356.62,264.788
7357.11,269.632
7357.59,274.508
7358.61,279.423
7360.03,284.556
7361.43,289.716
7362.83,294.906
7364.22,300.123
7366.22,305.64
7368.21,311.185
7370.2,316.76
7372.19,322.365
7374.17,327.998
7375.94,333.396
7377.71,338.824
7379.48,344.28
7381.3,349.745
7383.12,355.24
7384.94,360.764
7386.76,366.317
7388.57,371.9
7390.38,377.512
7392.19,383.153
7393.99,388.823
7395.8,394.523
7397.6,400.252
7399.4,406.009
7401.2,411.796
7403,417.612
7404.8,423.457
7406.59,429.33
7408.39,435.232
7410.18,441.163
7411.98,447.123
7413.77,453.111
7415.57,459.128
7417.36,465.173
7419.15,471.247
7420.94,477.349
7422.75,483.482
7424.54,489.643
7426.35,495.832
7428.15,502.05
7429.95,508.294
7431.75,514.567
7433.55,520.867
7435.35,527.195
7437.15,533.551
7438.96,539.934
7440.76,546.344
7442.57,552.781
7444.37,559.245
7446.18,565.737
7447.99,572.255
7449.8,578.8
7451.61,585.371
7453.42,591.97
7455.24,598.594
7457.19,605.044
7459.15,611.522
7461.12,618.03
7463.09,624.566
7465.06,631.131
7467.04,637.724
7469.02,644.345
7471,650.995
7472.99,657.672
7474.99,664.378
7476.98,671.111
7478.99,677.871
7480.99,684.659
7483,691.473
7485.02,698.315
7486.84,704.925
7488.67,711.56
7490.5,718.22
7492.33,724.905
7494.16,731.614
7496,738.348
7497.84,745.105
7499.68,751.887
7501.53,758.692
7503.38,765.52
7505.23,772.371
7507.08,779.246
7508.94,786.143
7510.79,793.062
7512.65,800.004
7514.51,806.967
7516.38,813.952
7518.24,820.958
7520.11,827.986
7522.19,835.083
7524.26,842.2
7526.34,849.338
7528.41,856.496
7530.48,863.672
7532.56,870.868
7534.63,878.083
7536.7,885.316
7538.77,892.568
7540.83,899.837
7542.9,907.124
7544.99,914.456
7547.08,921.804
7549.16,929.169
7551.25,936.55
7553.33,943.947
7555.41,951.358
7557.49,958.785
7559.57,966.227
7561.64,973.682
7563.72,981.152
7565.79,988.634
7567.85,996.13
7569.92,1003.64
7571.98,1011.16
7574.04,1018.69
7576.1,1026.23
7578.16,1033.79
7580.21,1041.35
7582.26,1048.93
7584.31,1056.51
7586.35,1064.11
7588.39,1071.71
7590.43,1079.32
7592.46,1086.94
7594.49,-3481.15
7596.52,-3473.52
7598.54,-3465.88
7600.56,-3458.23
7602.58,-3450.58
7604.59,-3442.93
7606.6,-3435.27
7608.61,-3427.6
7610.61,-3419.93
7612.37,-3412.42
7614.13,-3404.92
7615.89,-3397.41
7617.66,-3389.91
7617.92,-3381.02
7618.18,-3374.32
7616.79,-3365.75
7615.4,-3357.15
7614.01,-3348.52
7612.63,-3339.87
7611.24,-3331.19
7609.85,-3322.48
7608.47,-3313.75
7607.12,-3304.71
7605.78,-3295.64
7604.43,-3286.55
7603.1,-3277.43
7601.77,-3268.29
7602.01,-3261.01
7602.26,-3253.71
7602.51,-3246.41
7602.76,-3239.09
7603.01,-3231.77
7603.27,-3224.44
7603.53,-3217.1
7603.8,-3209.75
7604.07,-3202.39
7604.34,-3195.03
7604.62,-3187.66
7604.91,-3180.29
7605.19,-3172.91
7606.05,-3165.68
7606.91,-3158.45
7607.77,-3151.21
7608.64,-3143.96
7609.51,-3136.71
7610.38,-3129.46
7611.26,-3122.2
7612.14,-3114.94
7613.02,-3107.67
7613.91,-3100.41
7614.8,-3093.14
7615.7,-3085.87
7616.6,-3078.6
7617.5,-3071.33
7618.41,-3064.06
7619.18,-3056.7
7619.96,-3049.34
7620.74,-3041.98
7621.53,-3034.63
7622.32,-3027.28
7623.12,-3019.94
7623.93,-3012.6
7624.14,-3005.26
7624.36,-2997.92
7624.59,-2990.57
7624.83,-2983.23
7626.3,-2977.78
7627.77,-2972.34
7629.24,-2966.91
7630.72,-2961.49
7632.19,-2956.07
7633.66,-2950.67
7635.14,-2945.27
7636.61,-2939.89
7637.42,-2934.92
7638.22,-2929.95
7639.02,-2925
7639.81,-2920.07
7640.59,-2915.15
7641.36,-2910.24
7642.13,-2905.34
7642.9,-2900.46
7643.66,-2895.6
7644.41,-2890.75
7645.16,-2885.91
7645.9,-2881.09
7646.63,-2876.29
7647.36,-2871.5
7647.6,-2866.98
7647.83,-2862.48
7648.06,-2858
7648.28,-2853.53
7648.5,-2849.07
7648.72,-2844.64
7648.93,-2840.22
7649.16,-2835.79
7649.39,-2831.39
7649.82,-2826.65
7650.25,-2821.94
7650.68,-2817.25
7651.1,-2812.58
7651.53,-2807.93
7651.95,-2803.29
7652.36,-2798.68
7652.78,-2794.09
7653.19,-2789.52
7653.6,-2784.97
7654.01,-2780.44
7654.42,-2775.94
7654.83,-2771.45
7655.23,-2766.99
7655.63,-2762.55
7656.03,-2758.14
7656.42,-2753.74
7656.82,-2749.37
7657.21,-2745.03
7657.6,-2740.7
7658.01,-2736.38
7658.42,-2732.08
7658.83,-2727.8
7659.23,-2723.54
7659.63,-2719.31
7660.04,-2715.11
7660.44,-2710.93
7660.8,-2706.78
7661.16,-2702.66
4240.19,-2698.56
4240.55,-2694.49
4240.9,-2690.44
4241.25,-2686.42
4241.44,-2681.7
4241.35,-2677.55
4241.27,-2673.42
4241.2,-2669.31
10123.5,-2665.23
10123.4,-2661.16
10123.4,-2657.12
10123.3,-2653.1
